nombre,precio,foto_url,descripcion,categoria_id,activo,stock
"Pantuflas c/Bolsa Reutilizable",3990,/img/Pantuflas.jpg,"Sets de Pantuflas con Bolsa reutilizable y personalizadas, dos tallas standard a elección, talla mujer (núm. 37 al 39 aprox.) y talla hombre (núm. 40 al 42 aprox.) Bolsa tamaño 40x30x11 cms. Más de 70 diseños disponibles para elegir y personalizadas con nombres y fecha del matrimonio",1,true,0
"Pantuflas con Bolsa Plana",2690,/img/pantuflasbolsaplana.png,"Sets de Pantuflas con Bolsa Plana personalizadas, dos tallas a elección, talla mujer (num. 37 al 39 aprox.) y talla hombre (num. 40 al 42 aprox.) Bolsa tamaño 30x40 cms. Más de 70 diseños a elección y personalizados con nombre y fecha del matrimonio.",1,true,0
"Pantuflas con Bolsa Pequeña",3690,/img/pantuflabolsapequena.png,"Sets de Pantuflas con Bolsa Reutilizable Pequeña, dos tallas standard a elección, talla mujer (números 37 al 39 aprox.) y talla hombre (números 40 al 42 aprox.) Bolsa reutilizable tamaño 30x20x8 cms. con fuelle. Más de 70 diseños disponibles para elegir.",1,true,0
"Chapas Imán Destapador 58mm",1290,/img/Chapita.jpg,"Qué es lo más que hacemos durante los fines de semana? Beber. Refresco, cerveza, jugos; cualquier tipo de líquido es importante para mantenernos hidratados y contentos 😄 Es por eso que no debes dudar en regalar chapas destapador personalizadas en tu matrimonio",4,true,0
"Chapas con Llavero y destapador",290,/img/chapallaverodestapador.png,"Qué es lo más que hacemos durante los fines de semana? Beber. Refresco, cerveza, jugos; cualquier tipo de líquido es importante para mantenernos hidratados y contentos 😄 Es por eso que no debes dudar en regalar chapas destapador personalizadas en tu matri",4,true,0
"Chapas con Espejo",1090,/img/chapaespejo.png,"Espejo de bolsillo o cartera de 58 mm de diámetro",4,true,0
"Caja Almohada p/ Kit Anticaña",990,/img/kitalmohada.png,"Caja tamaño 12 cm. de largo x 11 cm. de ancho x 3 cms. de alto. No incluye el kit. 4 Diseños a elección",3,true,0
"Bolsa Reutilizable Pequeña",1390,/img/antiresacabolsa.png,"Bolsa reulizable pequeña con fuelle especial para armar tu kit antiresaca. Tamaño 20 cm de ancho x 30 cm de alto",3,true,0
"Kit Anti Resaca",1890,/img/KitAnti.jpg,"Para sobrevivir al día siguiente de la celebración. El kit incluye: - 1 Caja tipo almohada personalizada - 1 Sal de fruta - 1 Paracetamol - 1 Café - 1 Bolsa de té - 2 Dulces de menta / 4 diseños disponibles.",3,true,0
"Calendario Magnético",990,/img/calendariomagnetico.png,"Calendario magnético impreso full color y laminado, tamaño 7x15 cm. Calendario anual desde el mes del matrimonio.",2,true,0
"Imanes",790,/img/imanes.png,"Imanes impreso full color y laminado, tamaño 9x6 cm",2,true,0
"Destapador Imantado",1890,/img/imantadodestapador.png,"Destapador imantado con forma de tapa. Tamaño 8 cm de diámetro. Disponible en color blanco invierno, rojo, amarillo, naranjo, azul y verde.",2,true,0
